Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04560968286099853,0.03626118907161796,0.01403782105434833,0.14971088947219724,130
balance.3,0.04410819838056699,0.039198339792242444,0.013732931581264558,0.1629641105292218,130
breast-cancer,0.03883197705802974,0.04226605201868208,0.014461397361868111,0.16127846842343724,130
cmc.1,0.28099244939271256,0.20951642696868372,0.01473924473669429,0.16986077104382657,130
cmc.2,0.424900782726046,0.41216043048749096,0.013618155263094721,0.1701223394744662,130
cmc.3,0.36507794871794863,0.34493162604451166,0.013137110522764391,0.17435971842649833,130
ctg.1,0.09773979757084986,0.0915641062970272,0.013205694736251118,0.15855258947703987,130
ctg.2,0.13844616734143078,0.13674994996836465,0.012969821049697012,0.1434246000028093,130
ctg.3,0.05979780701754436,0.03354003084445076,0.011138497366214563,0.12600490789688928,130
german,0.3612537179487187,0.4589279315746733,0.010744081583413246,0.12660633947387778,130
haberman,0.45327060728744956,0.48442428952842986,0.011474842101482577,0.129193813166287,130
ionosphere,0.042971828609986634,0.023549938812699796,0.011494681583778737,0.1247961105208991,130
iris.2,0.03375566126855594,0.037706781049229,0.012176378950243816,0.1273725578947434,130
iris.3,0.023725296896086434,0.017325872260541254,0.011235644734513602,0.1266933605274014,130
mammographic,0.09212037112010749,0.10345210751635787,0.012540081580243024,0.13685895789776145,130
pageblocks.5,0.2506995883940622,0.2561940238061029,0.010529642108227372,0.11642951841196536,130
semeion,0.15136267206477744,0.25605387315912614,0.010315160525925947,0.115952731581944,130
sonar,0.2729734750337383,0.07862384635778075,0.010877055264580505,0.11586446841829456,130
spambase,0.03473030364372493,0.031656223649644946,0.010543834212799802,0.1160997736871267,130
spectf,0.19514602564102548,0.4967165812091911,0.010510055264029162,0.1149161236856966,130
tictactoe,0.07027192307692327,0.06212389422026129,0.010676692105143479,0.11710795789564911,130
transfusion,0.37859344804318473,0.36975253662156443,0.010071131579982313,0.11377588947193305,130
wdbc,0.035062874493927365,0.043069413605119664,0.010673131580819915,0.11773541316046919,130
wine.1,0.022616106612685566,0.01743258679380258,0.010453628950543995,0.11428155262470491,130
wine.2,0.026783184885290162,0.008545186475906588,0.010420878940127104,0.1135909815845815,130
wine.3,0.05314797570850217,0.029961359691834267,0.010406950001580347,0.11362142367809276,130
wine-q-red,0.07621456140350892,0.06626707174716313,0.010571771051648906,0.11679242631438874,130
wine-q-white,0.11881464912280662,0.17089480841219806,0.009560957895653126,0.11315114736881744,130
yeast,0.3573220985155197,0.44009678791813833,0.010383923685080126,0.11709442895095747,130
