Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.053166052631579024,0.054092243554866914,0.022798476313351114,0.23083669736852722,60
balance.3,0.043960175438596594,0.03212738718204664,0.022960702637455574,0.2505919105269162,60
breast-cancer,0.035000526315789676,0.04588315542308049,0.020309528950172916,0.23778254473673818,60
cmc.1,0.291084649122807,0.197876546634367,0.020536802634045382,0.236945639471646,60
cmc.2,0.42320912280701756,0.39844177293079813,0.02503842631459089,0.2622809578851478,60
cmc.3,0.3452663157894737,0.32002099468093953,0.02040023420857707,0.23142530525862975,60
ctg.1,0.108936228070175,0.1004269733944313,0.022960857891073255,0.25200970000801853,60
ctg.2,0.13843649122807042,0.15263238402984622,0.022065997373398493,0.23423916052745067,60
ctg.3,0.06970964912280725,0.044047569834523466,0.02279337104961374,0.2601203842159042,60
german,0.2771702631578954,0.4249067609211098,0.023983497373257324,0.23446925526552245,60
haberman,0.4360315789473685,0.46918000178483155,0.021546465788943397,0.23473935526348405,60
ionosphere,0.03600833333333363,0.03494273226543065,0.02269185526222971,0.23931913946963554,60
iris.2,0.03658815789473679,0.0352310208077648,0.022497510519123784,0.21926945263648553,60
iris.3,0.02664850877192983,0.023306634230873802,0.02109551579250317,0.2419243157813693,60
mammographic,0.09932973684210501,0.09531975065289479,0.020751092105025525,0.23888545526087432,60
pageblocks.5,0.2639532456140353,0.09414040011286785,0.022820578955457006,0.24309179472804412,60
semeion,0.16536622807017548,0.26836033211730015,0.019554736846322685,0.2337225473648256,60
sonar,0.2243116666666669,0.08669431215980981,0.020872326305834576,0.2284858578963107,60
spambase,0.04158587719298266,0.03772638991285629,0.02039872368454541,0.2483939026301653,60
spectf,0.2047727192982455,0.494568361005626,0.01926502895290277,0.2279245684192957,60
tictactoe,0.08403587719298261,0.05301090344728328,0.02070336051953123,0.2229832263225322,60
transfusion,0.37222807017543846,0.35941525096165544,0.020127202629258756,0.2245853052652245,60
wdbc,0.0408764035087722,0.04848478880029808,0.019931389473832065,0.2093827657900922,60
wine.1,0.02624868421052633,0.023843987946624432,0.02141177369048819,0.21490997631611353,60
wine.2,0.03004657894736831,0.019406797717202367,0.020314250001990188,0.2290527578918141,60
wine.3,0.04662728070175456,0.028024678430285953,0.018219202626680368,0.22690676315687597,60
wine-q-red,0.08212877192982458,0.06399614053298056,0.021007886841145688,0.2323863710580075,60
wine-q-white,0.1319119298245612,0.15787979753653572,0.02213493946902944,0.23642739737375737,60
yeast,0.311392105263158,0.41426402800665313,0.02064914474153499,0.23569292104864298,60
