Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.06487201754385985,0.08191723377267052,0.02196623420643032,0.2419929026371775,20
balance.3,0.07195859649122817,0.061914136973809666,0.02488354473730157,0.2728509947391055,20
breast-cancer,0.03514289473684213,0.033261691761423115,0.019839410526114272,0.2402852184237226,20
cmc.1,0.2742791228070175,0.2088315032548394,0.019798557895946464,0.22936489473489163,20
cmc.2,0.3252226315789473,0.334240002020191,0.021286092107306774,0.2457142315765132,20
cmc.3,0.33977859649122816,0.29833260825746527,0.023126410525659787,0.248766536839723,20
ctg.1,0.08743078947368395,0.1066186363645413,0.02118010263228299,0.22543799473389395,20
ctg.2,0.12966956140350908,0.12475121361818538,0.02113784473285226,0.23755990789351544,20
ctg.3,0.08034736842105297,0.1939582938013021,0.02100417631567995,0.2103162210581726,20
german,0.3356032456140357,0.3976926489161878,0.02068233684373186,0.23488843683949917,20
haberman,0.3876027192982456,0.4251072395964848,0.013927007893615059,0.15071388684660442,20
ionosphere,0.0695869298245614,0.05938047299896793,0.014411863154045454,0.14311352368952757,20
iris.2,0.03341114035087724,0.043158892131355125,0.010573076317086816,0.11657053421367891,20
iris.3,0.030636754385964846,0.04158251862062915,0.010649497369549385,0.11378914737111986,20
mammographic,0.10348035087719266,0.1088607989079594,0.010657768419294274,0.11596914999474968,20
pageblocks.5,0.23580438596491238,0.12277442008344908,0.01037205263243155,0.11084134999730036,20
semeion,0.17818131578947377,0.11011723434578602,0.009944321046963236,0.110023360526324,20
sonar,0.2271002631578949,0.11598250812938789,0.010460168426537788,0.11208850526600145,20
spambase,0.05276754385964938,0.05426293597587935,0.010644092105059443,0.11387112368155565,20
spectf,0.25764728070175424,0.4729395958835785,0.01092298684402761,0.11505837894602385,20
tictactoe,0.0692568421052633,0.07598619274691024,0.010284476314585558,0.11118489736997474,20
transfusion,0.38478780701754384,0.3824608236821349,0.0108332394708046,0.11470676579138901,20
wdbc,0.04883622807017577,0.06248965863340845,0.010254789476197115,0.11200667105578377,20
wine.1,0.03858938596491246,0.03302963215865867,0.010387626315748907,0.11268176052468143,20
wine.2,0.03266254385964906,0.03564376418665953,0.01031461840734425,0.1135838579028036,20
wine.3,0.05892464912280702,0.04363886351122965,0.01038537895012843,0.11128920789403644,20
wine-q-red,0.11910850877192986,0.10503737041885948,0.010910142104349737,0.11446621842333116,20
wine-q-white,0.18388675438596488,0.18309386114083884,0.01064122631214559,0.11273886842383563,20
yeast,0.3492794736842106,0.3697771756952235,0.01043111315505628,0.11348819474407815,20
