Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.03946388888888891,0.04001898222205295,0.03735890789539553,0.4153699421087942,90
balance.3,0.04285710526315813,0.044375357289482706,0.03720821315532943,0.40613283947918954,90
breast-cancer,0.02672687134502939,0.041201697038971676,0.03650592894164698,0.4160276394732615,90
cmc.1,0.26860578947368424,0.2020997054215975,0.0388018894729229,0.44006883684778586,90
cmc.2,0.41185888888888883,0.39479307561388116,0.03665152368423725,0.40925797105362444,90
cmc.3,0.36699365497076025,0.3505544221597282,0.037043528946876327,0.4288309289488672,90
ctg.1,0.09716160818713424,0.09036444836222786,0.03768792105562936,0.4188522842121433,90
ctg.2,0.131942368421053,0.14152065792197463,0.036874818418015674,0.4230274315739639,90
ctg.3,0.07300362573099453,0.04274123417827023,0.037218847368709056,0.41154381315879474,90
german,0.3335039473684216,0.4350310610017732,0.03731594999063466,0.42200960789647834,90
haberman,0.45067760233918147,0.47106758936485077,0.038968021047031995,0.4366108552571141,90
ionosphere,0.04672391812865509,0.02504832825302686,0.03731347631362855,0.4198685947416571,90
iris.2,0.0398973099415203,0.03894042249691836,0.03925476578756628,0.4511108105285338,90
iris.3,0.02435707602339187,0.029995739476276036,0.04459879473066203,0.5012791421077533,90
mammographic,0.09669087719298233,0.10585193680844886,0.04314776579696244,0.505776663156116,90
pageblocks.5,0.23043125730994163,0.08831673444221937,0.04578182894558842,0.5084796394681019,90
semeion,0.1578582748538012,0.26209774779128003,0.04365270262381895,0.5190574921097754,90
sonar,0.2597989181286552,0.07102517165859712,0.04793162631348854,0.5335766105257024,90
spambase,0.033418479532163765,0.03311834039022624,0.04656012368841881,0.5209687973669803,90
spectf,0.16250608187134494,0.4957073192009677,0.04355776315634629,0.5000975868407342,90
tictactoe,0.0578237719298247,0.050712198214029856,0.04324085262028108,0.49584766579363004,90
transfusion,0.36123616959064325,0.35308754571967266,0.04838319737648003,0.5706797842040511,90
wdbc,0.0315373976608191,0.039814479528301736,0.048313928951852415,0.5298747684129538,90
wine.1,0.023298479532163824,0.01705296153434609,0.04064985526125192,0.44409794210744286,90
wine.2,0.02669824561403505,0.014030340736644694,0.039054399996530265,0.43352329210794877,90
wine.3,0.044169122807017694,0.028421794068989575,0.04104643157609787,0.4447643999990664,90
wine-q-red,0.06807146198830431,0.05950165548879541,0.03850095788948238,0.43852700263347577,90
wine-q-white,0.13877961988304055,0.1681310461663632,0.04126554210731564,0.44067078421664374,90
yeast,0.3181642690058481,0.4227149453051181,0.03971923157836212,0.44605073947336915,90
