Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.03793719298245621,0.041480137561121955,0.010877352633734086,0.11848471842332449,150
balance.3,0.042203508771930014,0.03243159082426241,0.010754892107797787,0.12073920525941312,150
breast-cancer,0.024460438596491312,0.03251599583692566,0.010883760532842165,0.11904778947140776,150
cmc.1,0.2932622807017543,0.21229847033885593,0.011053084213543977,0.12175428947758567,150
cmc.2,0.4125140350877193,0.39853263759305485,0.0107427684216466,0.1243279684261468,150
cmc.3,0.3941505263157894,0.34038868101018416,0.010902157894298924,0.1225859263167398,150
ctg.1,0.09222210526315763,0.08977561442164851,0.010859542106596851,0.11932450263166654,150
ctg.2,0.15061263157894766,0.1497943474349818,0.0104703052646456,0.12014470789367088,150
ctg.3,0.0735904385964917,0.03764948390885704,0.01121097105542982,0.11983811053122688,150
german,0.2647200877192989,0.46798954053424574,0.011267292106487347,0.11951682105121252,150
haberman,0.4609657017543861,0.4841970480937985,0.010498334210990978,0.11927339474296834,150
ionosphere,0.047275350877193166,0.021099083069614208,0.010799707892338598,0.11721463947507896,150
iris.2,0.03300921052631581,0.03319195038634884,0.010873205262836754,0.11661580000624158,150
iris.3,0.022719473684210557,0.019069695156209102,0.011626571055354648,0.1169787552636607,150
mammographic,0.10435394736842071,0.10971526405988259,0.01063429473403008,0.11744540789789569,150
pageblocks.5,0.24678859649122828,0.25357024209931034,0.010139765786190861,0.11382716578909342,150
semeion,0.1556220175438598,0.2602194838590659,0.010608447369457664,0.11583632104846306,150
sonar,0.29751631578947374,0.06538881715533862,0.009768563157290612,0.11207954210878693,150
spambase,0.030625087719298533,0.02667598307391582,0.010393368420313652,0.1162175710579552,150
spectf,0.1665838596491227,0.4971484300620926,0.011309197367058675,0.11468594210639008,150
tictactoe,0.06740175438596505,0.05682173930074887,0.010595376315330597,0.11669922368999228,150
transfusion,0.37361552631578937,0.3644593132378758,0.009779113153375587,0.11369046053120033,150
wdbc,0.035047456140351096,0.043303517484529784,0.010557418421070141,0.11404523947490625,150
wine.1,0.024247192982456187,0.018597850088573554,0.010859686839945712,0.11581777895059388,150
wine.2,0.026918859649122807,0.008924901150951972,0.010029584210745892,0.11395946579164286,150
wine.3,0.052039649122807216,0.021228706853731915,0.009737400001061982,0.11194297368331861,150
wine-q-red,0.05104728070175448,0.05276101819668658,0.010670936844115587,0.11888671315912354,150
wine-q-white,0.1331662280701751,0.17575905932945193,0.010466357896802947,0.1167275789515483,150
yeast,0.34484570175438606,0.4442350681230143,0.010050273684196566,0.11535529737164707,150
