Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04244956140350897,0.04753399582051518,0.012405215797786551,0.12072510263073798,50
balance.3,0.06096070175438579,0.041489587498597706,0.010966789469086123,0.12193475790033852,50
breast-cancer,0.0272808771929824,0.03741157655578827,0.013423818416317533,0.14124799473670704,50
cmc.1,0.26021657894736844,0.21454209076380953,0.013532373694225067,0.14627887631496905,50
cmc.2,0.4067,0.39063926919973174,0.014225415788946282,0.14634401578682868,50
cmc.3,0.33457350877192993,0.32751007627275647,0.020865628938496996,0.23055393684741207,50
ctg.1,0.10395114035087681,0.0870437933844715,0.019060657892719303,0.23026383421414434,50
ctg.2,0.1428031578947372,0.14744018156263863,0.01936829999996055,0.2099044263136181,50
ctg.3,0.07704114035087746,0.03859218874943243,0.022556184210483672,0.2233357368416986,50
german,0.2979085964912288,0.42804571264278113,0.020068136840372494,0.2307770447391943,50
haberman,0.4321399122807018,0.4565804977012503,0.020791847366030868,0.2469223973656833,50
ionosphere,0.06111368421052643,0.028977638771074492,0.021095431582867412,0.2222418605264178,50
iris.2,0.03240807017543841,0.0321269799642216,0.024259013157509463,0.2837205394753255,50
iris.3,0.023865789473684118,0.02065202834180856,0.019168749998482924,0.2267976315832991,50
mammographic,0.1003546491228066,0.1130347246521091,0.02416488157407577,0.2831681289566117,50
pageblocks.5,0.2551184210526318,0.10261513151206905,0.019851557892060986,0.23094031842744076,50
semeion,0.1659686842105264,0.2606409860310454,0.02003733157854233,0.23626887631192067,50
sonar,0.28651307017543864,0.09237899978753009,0.022554944730425058,0.24319563684586779,50
spambase,0.05423526315789496,0.036923719169739716,0.021100594729528223,0.2385290473727142,50
spectf,0.2150631578947367,0.49315353331526945,0.02481511578968677,0.2707957210506337,50
tictactoe,0.08266596491228088,0.05959925804196311,0.023732486839626768,0.26776330788791375,50
transfusion,0.3790170175438596,0.3682141055262218,0.022320910517775797,0.24301646842535488,50
wdbc,0.0411464912280704,0.048505315119451664,0.021161178949497345,0.2302087763183456,50
wine.1,0.033163333333333385,0.018561459306513234,0.020615550003161554,0.23747473947342337,50
wine.2,0.03699780701754393,0.020602885596753297,0.021409065784322785,0.2313129289510758,50
wine.3,0.045993947368421086,0.02168204937730172,0.02232011578560464,0.23629302632425128,50
wine-q-red,0.08448175438596493,0.08072994783039841,0.02135183157913975,0.2322463210561852,50
wine-q-white,0.1548099999999997,0.1744904075788925,0.02273208158256143,0.2356106684218455,50
yeast,0.3167320175438597,0.4082180381538974,0.020022171050138576,0.23813785263184017,50
