Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
balance.1,0.05,0.05,0.11822999999999997,0.07549214420579681,0.06822999999999997,0.025492144205796805,0.010677699989173561,0.11612300004344434,0.010920910520086946,0.11871571579678475
balance.1,0.1,0.1,0.174686666666667,0.22756560735397358,0.07468666666666698,0.12756560735397357,0.010923499998170882,0.11371160001726821,0.010920910520086946,0.11871571579678475
balance.1,0.15,0.15,0.17503000000000046,0.11797765941609151,0.02503000000000047,0.03202234058390849,0.010678899998310953,0.11697910004295409,0.010920910520086946,0.11871571579678475
balance.1,0.2,0.2,0.20448333333333388,0.21724830870204592,0.0044833333333338665,0.01724830870204591,0.01113270001951605,0.12252039997838438,0.010920910520086946,0.11871571579678475
balance.1,0.25,0.25,0.19199000000000058,0.2814926638997206,0.05800999999999942,0.03149266389972061,0.011930599983315915,0.12357960001099855,0.010920910520086946,0.11871571579678475
balance.1,0.3,0.3,0.3581333333333327,0.3097245258053411,0.058133333333332704,0.009724525805341111,0.01396700000623241,0.20247469999594614,0.010920910520086946,0.11871571579678475
balance.1,0.35,0.35,0.3867066666666658,0.3998059186334299,0.03670666666666583,0.049805918633429924,0.009779599960893393,0.1114477000082843,0.010920910520086946,0.11871571579678475
balance.1,0.3875,0.39999999999999997,0.3802866666666658,0.377000627599596,0.0072133333333342375,0.010499372400403995,0.012075299979187548,0.11870649998309091,0.010920910520086946,0.11871571579678475
balance.1,0.45,0.44999999999999996,0.4030633333333325,0.4386809876676442,0.046936666666667515,0.011319012332355827,0.0111952000297606,0.12266229995293543,0.010920910520086946,0.11871571579678475
balance.1,0.4875,0.49999999999999994,0.42379333333333297,0.437820743590388,0.06370666666666702,0.049679256409612016,0.010788900020997971,0.12147380004171282,0.010920910520086946,0.11871571579678475
balance.1,0.5375,0.5499999999999999,0.6145266666666658,0.6274292519646617,0.0770266666666658,0.08992925196466173,0.011042699974495918,0.12135040003340691,0.010920910520086946,0.11871571579678475
balance.1,0.6,0.6,0.6077066666666656,0.5593553568630658,0.00770666666666564,0.040644643136934167,0.011031300004106015,0.1222208000253886,0.010920910520086946,0.11871571579678475
balance.1,0.65,0.65,0.6189299999999991,0.6266508468065498,0.03107000000000093,0.02334915319345021,0.010184199956711382,0.12256170000182465,0.010920910520086946,0.11871571579678475
balance.1,0.7,0.7,0.6488633333333328,0.7057900898917135,0.05113666666666716,0.00579008989171359,0.010743399965576828,0.11091320001287386,0.010920910520086946,0.11871571579678475
balance.1,0.75,0.75,0.7252033333333325,0.7040739099834815,0.024796666666667466,0.045926090016518484,0.01106770004844293,0.11703030002536252,0.010920910520086946,0.11871571579678475
balance.1,0.7875,0.7999999999999999,0.7039299999999987,0.6828581651054558,0.08357000000000125,0.10464183489454415,0.010875899984966964,0.11641990003408864,0.010920910520086946,0.11871571579678475
