dataset,prevalencia_real,prev_dyssyn,erro_dyssyn,n_amostras
1460_banana.csv,0.05,0.10503295167216206,0.05503295167216206,100
1460_banana.csv,0.1,0.13673328766234738,0.036733287662347375,100
1460_banana.csv,0.15,0.21123529364292776,0.06123529364292776,100
1460_banana.csv,0.2,0.22561328577008327,0.02561328577008326,100
1460_banana.csv,0.25,0.2517793336844704,0.0017793336844704188,100
1460_banana.csv,0.3,0.3074977925824783,0.007497792582478291,100
1460_banana.csv,0.35,0.3110090835768843,0.038990916423115696,100
1460_banana.csv,0.4,0.4224887329021528,0.022488732902152753,100
1460_banana.csv,0.44,0.43729935223084826,0.0027006477691517428,100
1460_banana.csv,0.49,0.48013886232866676,0.009861137671333231,100
1460_banana.csv,0.54,0.4821352359623357,0.05786476403766433,100
1460_banana.csv,0.6,0.5617553125350024,0.03824468746499754,100
1460_banana.csv,0.65,0.6987515413292343,0.048751541329234316,100
1460_banana.csv,0.7,0.67122180935829,0.028778190641709944,100
1460_banana.csv,0.75,0.6969748568993689,0.05302514310063111,100
1460_banana.csv,0.8,0.7193620111282797,0.08063798887172036,100
1460_banana.csv,0.85,0.7635772691625261,0.08642273083747387,100
1460_banana.csv,0.9,0.7825720894594496,0.11742791054055046,100
1460_banana.csv,0.95,0.8517897606831359,0.09821023931686401,100
1462_banknote-authentication.csv,0.05,0.05158030918972255,0.0015803091897225452,100
1462_banknote-authentication.csv,0.1,0.11353368047664217,0.013533680476642163,100
1462_banknote-authentication.csv,0.15,0.13982531327298586,0.010174686727014132,100
1462_banknote-authentication.csv,0.2,0.2060569269245503,0.006056926924550288,100
1462_banknote-authentication.csv,0.25,0.23672102303824621,0.013278976961753786,100
1462_banknote-authentication.csv,0.3,0.2807577234307234,0.019242276569276573,100
1462_banknote-authentication.csv,0.35,0.3294357503584236,0.020564249641576382,100
1462_banknote-authentication.csv,0.4,0.4171531855129675,0.01715318551296746,100
1462_banknote-authentication.csv,0.44,0.45297270575879195,0.012972705758791947,100
1462_banknote-authentication.csv,0.49,0.500665632372741,0.010665632372740985,100
1462_banknote-authentication.csv,0.54,0.5212151447230206,0.018784855276979484,100
1462_banknote-authentication.csv,0.6,0.5859411936192194,0.014058806380780609,100
1462_banknote-authentication.csv,0.65,0.6563600937944777,0.006360093794477661,100
1462_banknote-authentication.csv,0.7,0.6957888887029349,0.004211111297065084,100
1462_banknote-authentication.csv,0.75,0.7470256266599562,0.002974373340043801,100
1462_banknote-authentication.csv,0.8,0.7807488213890628,0.01925117861093728,100
1462_banknote-authentication.csv,0.85,0.8233606925196503,0.026639307480349705,100
1462_banknote-authentication.csv,0.9,0.8897664054124367,0.010233594587563344,100
1462_banknote-authentication.csv,0.95,0.9323581390883132,0.017641860911686735,100
1466_cardiotocography.csv,0.05,0.06199916961297702,0.01199916961297702,100
1466_cardiotocography.csv,0.1,0.10583646106012323,0.005836461060123227,100
1466_cardiotocography.csv,0.15,0.16295178054472392,0.012951780544723929,100
1466_cardiotocography.csv,0.2,0.23046855041798686,0.03046855041798685,100
1466_cardiotocography.csv,0.25,0.2732009270609373,0.023200927060937293,100
1466_cardiotocography.csv,0.3,0.32151247940779293,0.02151247940779294,100
1466_cardiotocography.csv,0.35,0.3811843608971915,0.03118436089719151,100
1466_cardiotocography.csv,0.4,0.41098268165662866,0.010982681656628634,100
1466_cardiotocography.csv,0.44,0.4664607193973948,0.026460719397394805,100
