arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1466_cardiotocography.csv,0.15,0.126737,0.023263,0.113,100,0.114356582,0.895717487,0.162951781,0.012951781
moss_5_95.pkl,1466_cardiotocography.csv,0.2,0.182548,0.017452,0.169,100,0.143668573,0.804179167,0.23046855,0.03046855
moss_5_95.pkl,1466_cardiotocography.csv,0.25,0.236115667,0.013884333,0.182,100,0.168366466,0.922476887,0.273200927,0.023200927
moss_5_95.pkl,1466_cardiotocography.csv,0.3,0.277364,0.022636,0.168,100,0.179640946,1.153515149,0.321512479,0.021512479
moss_5_95.pkl,1466_cardiotocography.csv,0.35,0.338274,0.011726,0.211,100,0.195049443,1.24862575,0.381184361,0.031184361
moss_5_95.pkl,1466_cardiotocography.csv,0.4,0.38733,0.01267,0.191,100,0.217078377,1.185683916,0.410982682,0.010982682
moss_5_95.pkl,1466_cardiotocography.csv,0.44,0.415026667,0.024973333,0.201,100,0.22042475,1.133331708,0.466460719,0.026460719
moss_5_95.pkl,1466_cardiotocography.csv,0.49,0.462885667,0.027114333,0.208,100,0.217765479,1.395172488,0.506284076,0.016284076
moss_5_95.pkl,1466_cardiotocography.csv,0.54,0.537030667,0.002969333,0.208,100,0.22364384,1.231110963,0.587351357,0.047351357
moss_5_95.pkl,1466_cardiotocography.csv,0.6,0.589750333,0.010249667,0.18,100,0.213251827,1.380164226,0.626531112,0.026531112
moss_5_95.pkl,1466_cardiotocography.csv,0.65,0.642801667,0.007198333,0.172,100,0.200542954,1.407471951,0.670030491,0.020030491
moss_5_95.pkl,1466_cardiotocography.csv,0.7,0.694523333,0.005476667,0.166,100,0.189506199,1.200479021,0.724006276,0.024006276
moss_5_95.pkl,1466_cardiotocography.csv,0.75,0.763466,0.013466,0.114,100,0.170844528,1.093613372,0.7533975,0.0033975
moss_5_95.pkl,1466_cardiotocography.csv,0.8,0.805733333,0.005733333,0.113,100,0.145906538,1.34866392,0.811406438,0.011406438
moss_5_95.pkl,1466_cardiotocography.csv,0.85,0.854560333,0.004560333,0.08,100,0.115287204,1.32573484,0.8639504,0.0139504
moss_5_95.pkl,1466_cardiotocography.csv,0.9,0.877778667,0.022221333,0.064,100,0.083956938,1.07540971,0.906417366,0.006417366
moss_5_95.pkl,1466_cardiotocography.csv,0.95,0.939868,0.010132,0.034,100,0.045421123,1.075962576,0.948325713,0.001674287
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.05,0.106316667,0.056316667,0.087,100,0.063711993,2.438503439,0.075978131,0.025978131
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.1,0.182963333,0.082963333,0.113,100,0.087871033,2.535827026,0.152183049,0.052183049
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.15,0.23603,0.08603,0.09,100,0.094596926,2.594178067,0.178227444,0.028227444
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.2,0.176273667,0.023726333,0.006,100,0.083227496,2.585586931,0.260260209,0.060260209
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.25,0.258030667,0.008030667,0.034,100,0.097164687,2.692167201,0.235108142,0.014891858
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.3,0.306062,0.006062,0.037,100,0.104700781,2.754931948,0.280281961,0.019718039
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.35,0.248051,0.101949,0.054,100,0.114809068,2.673957492,0.307711157,0.042288843
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.4,0.34129,0.05871,0.067,100,0.116467149,2.722490458,0.324193547,0.075806453
