Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04428167919799499,0.040263494190697774,0.01624476842239107,0.20751675262918548,70
balance.3,0.03810951127819552,0.040851302892510544,0.018892831582649563,0.2351899789554361,70
breast-cancer,0.04386048872180458,0.04020754277976611,0.020404055262731976,0.2226769263200511,70
cmc.1,0.2684200000000001,0.19695802128104703,0.02056476052568637,0.23444918947490423,70
cmc.2,0.4227544360902256,0.39218330015134706,0.020830839471033726,0.23211085526150113,70
cmc.3,0.35784934837092724,0.32068096110258326,0.0198173157895278,0.21768690789375747,70
ctg.1,0.09779333333333287,0.09257249623440258,0.020302942102333826,0.21954612368656518,70
ctg.2,0.1501882456140354,0.1421276964657386,0.022326784203821597,0.2299488973665958,70
ctg.3,0.0751614912280706,0.047932620762334045,0.020507739470830483,0.2199829631518744,70
german,0.3330469423558904,0.4422558018029596,0.020755886837019046,0.24242777368023158,70
haberman,0.41912794486215554,0.47254342164814317,0.013431321046817558,0.1520422499988375,70
ionosphere,0.041549711779448745,0.021639548845390693,0.011466952633590585,0.12499266842343404,70
iris.2,0.03089253132832061,0.03940991286155602,0.010634157898541736,0.11465918421163224,70
iris.3,0.026816854636591364,0.022485380479329454,0.01019166841778267,0.11146980789827036,70
mammographic,0.1093069047619044,0.10575214062370959,0.01073535526091674,0.11685565000516362,70
pageblocks.5,0.24389122807017566,0.10213539228800378,0.010377144730515092,0.11099933947767376,70
semeion,0.1661580325814537,0.2531687261520165,0.011309781577438116,0.11507447105587314,70
sonar,0.21759968671679236,0.06712579840347777,0.010261221058164282,0.11368286315854148,70
spambase,0.03266614035087721,0.029118168991863258,0.010852755263361982,0.11606162105300954,70
spectf,0.19015046365914764,0.4939173094490997,0.01091406579239686,0.11634105526057906,70
tictactoe,0.06521834586466191,0.05203252545608969,0.010935747367942608,0.11654718420437635,70
transfusion,0.3657575939849624,0.355798426311591,0.010467976317924791,0.11436006579223383,70
wdbc,0.03874018796992509,0.052455706857687835,0.02055293421175233,0.11483439737410088,70
wine.1,0.023396315789473713,0.018785862503452423,0.010207102629417358,0.11220108947600238,70
wine.2,0.028447644110275613,0.017290563226826823,0.011107071056214505,0.1229645605275628,70
wine.3,0.04623240601503776,0.03600830976731085,0.01080473947589972,0.11595362105014685,70
wine-q-red,0.07915005012531334,0.06686701297220023,0.010448842107220307,0.11735682368682894,70
wine-q-white,0.1431004887218042,0.16953839488358272,0.010198431582753792,0.11690041052765753,70
yeast,0.3317405764411029,0.4089512618955987,0.010455342104633976,0.11738243947834953,70
