Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.03707517543859658,0.04345691558944217,0.010250815792364608,0.11428305526313029,110
balance.3,0.03659509569378025,0.04854065501595633,0.009938597368186732,0.11287917369075953,110
breast-cancer,0.03941023125996816,0.04181694367418835,0.010101428952398956,0.11225707368238975,110
cmc.1,0.28142659489633176,0.19512618320795583,0.011149681574591485,0.11563082631848949,110
cmc.2,0.422391985645933,0.4020032006354473,0.010886797368967612,0.11746717368154541,110
cmc.3,0.37475841307815,0.3225833370611511,0.011305476319792337,0.12742267631600904,110
ctg.1,0.09622494417862792,0.0905672100122218,0.009723363159297916,0.11081957105565571,110
ctg.2,0.13993725677830968,0.15112295505527557,0.01018446842116598,0.11506034736827898,110
ctg.3,0.0723260446570976,0.03915911790103369,0.01019908684017872,0.11076372368169311,110
german,0.32244680223285543,0.4570361249951113,0.010346526313744681,0.11687531052953809,110
haberman,0.455049816586922,0.4796737850847584,0.01053026842572236,0.11533240525903621,110
ionosphere,0.048157073365231284,0.02493262627745867,0.010202852636882054,0.11279298947345906,110
iris.2,0.043440725677830916,0.04493348254639523,0.010543702631318746,0.11348504736700929,110
iris.3,0.02101692185007967,0.021653660117653257,0.010212644733990984,0.11202810527021556,110
mammographic,0.08917955342902693,0.1012004187044599,0.010330468426936454,0.11589754999486583,110
pageblocks.5,0.22420413875598103,0.2468826086120877,0.010200389470954082,0.11217455526256297,110
semeion,0.15462673843700178,0.2707175537044064,0.00989454736669646,0.11227366052825298,110
sonar,0.26075999202551847,0.0790482666137565,0.010847078948771875,0.11569431052071434,110
spambase,0.039192200956938,0.029499362230682048,0.01033120000073196,0.11392702368596618,110
spectf,0.18533528708133956,0.49612769640978,0.010981807897271784,0.11714475789554663,110
tictactoe,0.07083023125996823,0.0538959941454624,0.010043034216658654,0.1127040368415979,110
transfusion,0.3745755183413077,0.3669662907252363,0.009907521059319965,0.11400551315685,110
wdbc,0.03926965709728893,0.04582116962705055,0.01061661052823949,0.11403266052825768,110
wine.1,0.026643460925039844,0.017151094555027363,0.010462463154812883,0.11281287368987442,110
wine.2,0.03307278309409897,0.012887908546041212,0.011338810531397988,0.1177426605273994,110
wine.3,0.04429115629984074,0.030431399425922937,0.010506147367107732,0.11512382894656376,110
wine-q-red,0.06364864433811794,0.05912363627314878,0.01058657105558699,0.11582922104954425,110
wine-q-white,0.13555850877192954,0.16241998222094717,0.010609573683100998,0.1184682868433332,110
yeast,0.34808216108452955,0.4431749447650272,0.01036617894944931,0.11616282368470963,110
