Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.028793897243107762,0.03711902048848829,0.01103047895441322,0.11474695526014425,140
balance.3,0.03807604010025093,0.03577949846538292,0.010668439465869022,0.11702448158298227,140
breast-cancer,0.03732491228070184,0.04043593819439213,0.010249055263365767,0.1139092026247741,140
cmc.1,0.28754591478696745,0.20895792467520813,0.011653652638319488,0.11814559735878567,140
cmc.2,0.4216171428571429,0.40163487960240196,0.010412105267230225,0.11697981315726218,140
cmc.3,0.3970327568922305,0.34608742757894045,0.010945984205280087,0.11889980262525282,140
ctg.1,0.09254838345864624,0.0793975118529764,0.010517060523852706,0.1160241263155752,140
ctg.2,0.13638609022556408,0.14423716099379852,0.01013673158319618,0.11441894736919112,140
ctg.3,0.07582766917293274,0.04367415650245037,0.010289923686191048,0.1148978947404478,140
german,0.28393305764411086,0.468735313101576,0.010440963156533575,0.11647430263723149,140
haberman,0.45636345864661665,0.48526085912343414,0.010941936838207766,0.11649361053040545,140
ionosphere,0.05012829573934864,0.024328640478876645,0.010418494735954721,0.1144904000056589,140
iris.2,0.037200977443608854,0.0385797269843909,0.010629602637460553,0.11505048157873955,140
iris.3,0.02905868421052637,0.018839842768344085,0.010157528946078137,0.11400798947770933,140
mammographic,0.08967139097744321,0.10123589989700668,0.010158147364180829,0.1157241947366856,140
pageblocks.5,0.22433433583959927,0.23323290855112128,0.010156668419336998,0.11218461578736376,140
semeion,0.1573465664160402,0.2599829161356925,0.010664494737284258,0.11613338947522846,140
sonar,0.25570416040100274,0.058596633454581194,0.010509805265189099,0.11539121052575003,140
spambase,0.03254832080200531,0.031813072282944777,0.010411123686935753,0.11581215789192356,140
spectf,0.1714470175438595,0.49807574835783197,0.010250828951891316,0.11392222104692146,140
tictactoe,0.061664498746867184,0.06142153575882648,0.010543313160796012,0.11660761841248084,140
transfusion,0.3796006516290725,0.3684427533252821,0.01035991316128179,0.11458758157708585,140
wdbc,0.0400246992481206,0.04311136033525252,0.010116821049259192,0.11365190262777584,140
wine.1,0.028175025062656747,0.015410019729794328,0.010056231581409903,0.11409357368431397,140
wine.2,0.027348621553884546,0.012431539337060366,0.012320594736497457,0.13549494737373224,140
wine.3,0.0479077443609024,0.027040972940816005,0.011158442110938364,0.11993132104888853,140
wine-q-red,0.06106380952380961,0.059007930632072304,0.01064260263228789,0.11622634736857818,140
wine-q-white,0.1257301378446111,0.16738894996696924,0.010428352633760752,0.11653456578680657,140
yeast,0.3116901002506267,0.443480237083482,0.010630218428559601,0.11884509736524992,140
