Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.06482394736842095,0.06083912047312652,0.010749360525024761,0.11733389736955839,30
balance.3,0.05080815789473701,0.054032443094780044,0.009909002634231001,0.11274263947607803,30
breast-cancer,0.04859622807017539,0.03545315167998381,0.010314365789159447,0.11239711578175622,30
cmc.1,0.2614620175438597,0.22338115353728433,0.010606131582263563,0.11447505000365996,30
cmc.2,0.38169298245614036,0.3799184725372806,0.010372242101431383,0.1145355052676199,30
cmc.3,0.39339798245614027,0.2952072493506189,0.012097144733783543,0.11635008421236355,30
ctg.1,0.12130631578947323,0.1176398241839487,0.010441294736473969,0.11425019736787745,30
ctg.2,0.14118894736842144,0.15373845991827442,0.009961421060755751,0.11232695789811642,30
ctg.3,0.08369570175438612,0.06927970110562985,0.010388092102642221,0.1119585500028303,30
german,0.3323372807017549,0.40752503613237134,0.009791476322693358,0.11208658947113068,30
haberman,0.39217596491228074,0.43846593987745186,0.010728536841557607,0.11673577368798617,30
ionosphere,0.05247008771929846,0.04228359753615075,0.01014133946859817,0.1125374473707971,30
iris.2,0.035251578947368,0.04324924711453565,0.010746518416501778,0.11457131579548954,30
iris.3,0.02626666666666656,0.0341209830480687,0.011297550004919207,0.11199629210291039,30
mammographic,0.10665228070175412,0.11471961472232539,0.010247647370162764,0.11570528683736675,30
pageblocks.5,0.2776586842105265,0.11346069544216335,0.01056485526772265,0.11471343420654241,30
semeion,0.1769545614035089,0.24465355545272618,0.010674960526797039,0.11568348421286301,30
sonar,0.3016341228070177,0.11526860254275585,0.010218797369529247,0.11283317631674245,30
spambase,0.05505657894736864,0.04785731948081412,0.010670971051838837,0.11352770789802123,30
spectf,0.247610789473684,0.4792509454095491,0.01041714999500025,0.1136927684220657,30
tictactoe,0.08184719298245631,0.05661540013714798,0.010306521058450207,0.1134009289503171,30
transfusion,0.40374570175438595,0.39520647830384065,0.010673789475970951,0.11542444473046712,30
wdbc,0.05162973684210548,0.0558948860440858,0.010667936845780596,0.11393185526494083,30
wine.1,0.029156228070175354,0.024521449920781674,0.013066899999485989,0.1473496605283703,30
wine.2,0.02918833333333326,0.02845208787744016,0.011725223689082716,0.133715050003957,30
wine.3,0.04914877192982476,0.035283729865044265,0.012007765787482066,0.1299842789502643,30
wine-q-red,0.10344947368421066,0.08962246525123019,0.01206423420961456,0.13201951315185348,30
wine-q-white,0.14806175438596458,0.15553446040438038,0.010893863152504261,0.13156284473523938,30
yeast,0.28979087719298263,0.38365180702071244,0.01139297894367605,0.13192484737680243,30
