Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04137184210526318,0.04966459993735909,0.03803173421061059,0.42690210262969086,100
balance.3,0.040576754385964975,0.04254985760562215,0.038836060519219916,0.42955953421340765,100
breast-cancer,0.04323894736842114,0.04132972542190552,0.03954931315935315,0.4246398526302073,100
cmc.1,0.27449622807017554,0.2084957418998071,0.03824211578620108,0.43490636315484726,100
cmc.2,0.41781403508771947,0.40321571915887144,0.03934932894710647,0.4330163973653199,100
cmc.3,0.3738802631578948,0.33327689292795243,0.03191238684169213,0.3697583131556473,100
ctg.1,0.0957971052631576,0.0787713402229941,0.021666563154308517,0.250624657899607,100
ctg.2,0.15613833333333357,0.15834466314708778,0.014564742102888167,0.14928965000159988,100
ctg.3,0.07725421052631616,0.04438309522115031,0.010774742101172083,0.11482649737215404,100
german,0.2996901754385971,0.45042687822615324,0.010839452633119532,0.11665519473669854,100
haberman,0.4300707894736843,0.48260302380372194,0.010424789477838203,0.11471864210110844,100
ionosphere,0.043280175438596594,0.026796400034065318,0.010331642110893307,0.11475800526310004,100
iris.2,0.031445877192982315,0.03864385065826303,0.010319615790841022,0.11393942632160983,100
iris.3,0.020721754385964904,0.020918132988196354,0.010382426314448056,0.112772150000398,100
mammographic,0.09832701754385924,0.1021773459746362,0.010594376319970348,0.11782822105727207,100
pageblocks.5,0.2573192982456143,0.24944365629008738,0.010331378950994756,0.11163813684374634,100
semeion,0.1611773684210527,0.25526801190476045,0.010195234206835985,0.11256032895241667,100
sonar,0.24509429824561418,0.07025014319999486,0.010470197364491852,0.11373201578910659,100
spambase,0.03205263157894756,0.030778736431893404,0.010664928943457963,0.11534967894917109,100
spectf,0.17489710526315774,0.4983765002375312,0.009908652631565928,0.11324508947712418,100
tictactoe,0.06127210526315801,0.04588328009320239,0.010784126312692502,0.11573776579615169,100
transfusion,0.3678601754385964,0.3540845928926519,0.010618334207193632,0.11589442894757285,100
wdbc,0.04171903508771957,0.045996654255776544,0.010624255263552951,0.11221121052911162,100
wine.1,0.03039201754385968,0.017119905694117005,0.01062511842955198,0.11405965262766633,100
wine.2,0.030421842105263195,0.014279711528787662,0.01043273420777711,0.11504386578943875,100
wine.3,0.047252456140351076,0.028289702193036195,0.010327342108786596,0.1130385894717428,100
wine-q-red,0.06311640350877182,0.06492022573137342,0.010684368421176546,0.11658505000492655,100
wine-q-white,0.13179105263157873,0.17054504809602805,0.010128765786679364,0.11374903684114351,100
yeast,0.33889157894736854,0.43533139463344467,0.010579578944567689,0.11720307105631371,100
