Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.03887027239150509,0.045693218580691815,0.010224626316860514,0.11653336842458598,190
balance.3,0.03199775623268711,0.030276452196338743,0.010457581578521058,0.11850895000296939,190
breast-cancer,0.029730101569713868,0.039917595224774526,0.010898647367292525,0.1188008105321052,190
cmc.1,0.27803294090489383,0.19795579994387613,0.01149076579206035,0.13087034999932112,190
cmc.2,0.42694926592797783,0.41124393686672917,0.011738705263460839,0.1287946684246172,190
cmc.3,0.38948294552169893,0.35347831059835294,0.018323523686328707,0.21501730000416405,190
ctg.1,0.09558520775623233,0.08953357295262442,0.016120794730101664,0.17615110000387127,190
ctg.2,0.1440692613111731,0.1322748536586483,0.01358775789144841,0.16923560263392956,190
ctg.3,0.07889636657433093,0.035209983444998136,0.015548378949078094,0.1697169394710248,190
german,0.3163061772853192,0.4604090309378308,0.015302455259523796,0.1766125710518712,190
haberman,0.4617516343490306,0.4898060366636465,0.014771955265467497,0.1681609894731082,190
ionosphere,0.05612511080332411,0.02547815673358045,0.016798418411972785,0.17978700000400605,190
iris.2,0.030884007386888113,0.04117574247694815,0.01711360000129054,0.17960183420769968,190
iris.3,0.02526858264081254,0.018157941243610958,0.015160794739035498,0.18201429472997246,190
mammographic,0.08594637580794058,0.09294664889638753,0.017080057891833252,0.18748655000634148,190
pageblocks.5,0.26368566943675004,0.2577443011941315,0.015255097362617227,0.1699268026354012,190
semeion,0.1505461772853186,0.26821683461911555,0.015127626313570593,0.16733580789112143,190
sonar,0.2941434764542938,0.09261550288196378,0.010793347362012259,0.12217068157961446,190
spambase,0.03401915050784874,0.028374066184511677,0.010937436837641718,0.12045596842500872,190
spectf,0.18820054016620483,0.49829339774445647,0.010612136845195078,0.1182750026284913,190
tictactoe,0.07783474145891062,0.05661212761837915,0.01091756315528121,0.11973613684715115,190
transfusion,0.3841136518928901,0.37036521095541347,0.010117563166300227,0.1154568394719574,190
wdbc,0.04319152816251194,0.041960877867312174,0.009747618418738344,0.11238803421637338,190
wine.1,0.03171614035087723,0.013881314104843513,0.010598460521769562,0.11581227895160402,190
wine.2,0.024758610341643582,0.009671301943528941,0.010304228951051635,0.1133702052603966,190
wine.3,0.04879597876269635,0.025210191383885926,0.00996105790009575,0.11217124999721388,190
wine-q-red,0.0626019344413666,0.0525460764833337,0.010550173684207135,0.11806819473981466,190
wine-q-white,0.11047749769159716,0.16385668696869224,0.010468650001137959,0.12032592368594028,190
yeast,0.31237487072945536,0.4445771285405892,0.01068595789777311,0.11916862368908417,190
