Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
balance.1,0.05,0.05,0.11924333333333337,0.08489810796263181,0.06924333333333337,0.034898107962631805,0.011037299991585314,0.11371740000322461,0.010691268424699573,0.1167772947351056
balance.1,0.1,0.1,0.1488466666666669,0.1782246591740106,0.0488466666666669,0.07822465917401059,0.008657299971673638,0.11146300000837073,0.010691268424699573,0.1167772947351056
balance.1,0.15,0.15,0.1744533333333337,0.16059822636522075,0.024453333333333716,0.010598226365220759,0.011006599990651011,0.11521030002040789,0.010691268424699573,0.1167772947351056
balance.1,0.2,0.2,0.19462333333333381,0.2617570107897457,0.005376666666666197,0.061757010789745714,0.011654100031591952,0.1255509999464266,0.010691268424699573,0.1167772947351056
balance.1,0.25,0.25,0.32929666666666596,0.32672326585150824,0.07929666666666596,0.07672326585150824,0.008526400022674352,0.11488380003720522,0.010691268424699573,0.1167772947351056
balance.1,0.3,0.3,0.3515833333333325,0.329513717048007,0.05158333333333254,0.029513717048007038,0.011496500053908676,0.12227150000398979,0.010691268424699573,0.1167772947351056
balance.1,0.35,0.35,0.3591633333333327,0.34097937450135857,0.009163333333332746,0.00902062549864141,0.015380700002424419,0.13864690001355484,0.010691268424699573,0.1167772947351056
balance.1,0.4,0.39999999999999997,0.3887299999999991,0.4099148599699961,0.011270000000000946,0.009914859969996082,0.01201000000583008,0.12134719995083287,0.010691268424699573,0.1167772947351056
balance.1,0.445,0.44999999999999996,0.4179433333333327,0.45515988187251105,0.027056666666667284,0.010159881872511045,0.010700799990445375,0.11471920000622049,0.010691268424699573,0.1167772947351056
balance.1,0.495,0.49999999999999994,0.5798399999999989,0.5003741927130454,0.08483999999999892,0.0053741927130454,0.010792999994009733,0.11669830000028014,0.010691268424699573,0.1167772947351056
balance.1,0.545,0.5499999999999999,0.5774399999999991,0.5273327426114276,0.032439999999999025,0.017667257388572444,0.008692799950949848,0.10976030002348125,0.010691268424699573,0.1167772947351056
balance.1,0.6,0.6,0.6248966666666662,0.6294700800989346,0.024896666666666234,0.029470080098934592,0.008800600015092641,0.11212239996530116,0.010691268424699573,0.1167772947351056
