dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy
1460_banana.csv,0.05,0.08268799999999939,0.003999999999999997,100,0.08034486555555555,1.6689199242081125
1460_banana.csv,0.1,0.11074966666666558,0.010000000000000009,100,0.11127441222222219,1.7875826699233064
1460_banana.csv,0.15,0.0957379999999986,0.061,100,0.13612153222222223,2.1251528662060033
1460_banana.csv,0.2,0.06498133333333356,0.021999999999999992,100,0.1526768488888889,1.74418457292294
1460_banana.csv,0.25,0.03598166666666702,0.012999999999999984,100,0.15809769333333334,1.8311327667195714
1460_banana.csv,0.3,0.03325566666666474,0.01100000000000001,100,0.16990011111111109,1.8825834293354018
1460_banana.csv,0.35,0.03723933333333157,0.006000000000000005,100,0.18196438222222228,1.9408148196654897
1460_banana.csv,0.4,0.03627966666666782,0.02699999999999997,100,0.18097802666666662,2.1566485989654174
1460_banana.csv,0.44,0.05717200000000067,0.03300000000000003,100,0.17617978999999995,2.208055005655359
1460_banana.csv,0.49,0.04795100000000074,0.013000000000000012,100,0.18576757666666666,2.019108336107492
1460_banana.csv,0.54,0.0024690000000004986,0.0040000000000000036,100,0.18698916000000004,1.8474267412726204
1460_banana.csv,0.6,0.034184000000002546,0.041000000000000036,100,0.17663431555555553,1.9339645895636062
1460_banana.csv,0.65,0.005941333333334464,0.04600000000000004,100,0.15542406222222221,2.1687794602781523
1460_banana.csv,0.7,0.0330026666666664,0.006999999999999895,100,0.16108239555555556,2.033906106210342
1460_banana.csv,0.75,0.07049199999999789,0.031000000000000028,100,0.15161371555555556,1.886184764868576
1460_banana.csv,0.8,0.01108433333333847,0.018000000000000016,100,0.1306527288888889,1.76873368164135
1460_banana.csv,0.85,0.06699499999999958,0.019999999999999907,100,0.11486353222222224,2.068067565114487
1460_banana.csv,0.9,0.06002799999999908,0.02200000000000002,100,0.0977374488888889,2.012727924626815
1460_banana.csv,0.95,0.09568600000000071,0.018999999999999906,100,0.07391533777777776,1.7413618215986804
1460_banana.csv,0.05,0.09233099999999948,0.009000000000000001,100,0.07428186222222223,1.6951220205223565
1460_banana.csv,0.1,0.0500639999999998,0.024000000000000007,100,0.09634408333333337,1.7796718322167273
1460_banana.csv,0.15,0.06108466666666565,0.017999999999999988,100,0.1249488122222222,1.7175737180978377
1460_banana.csv,0.2,0.11856633333333216,0.036000000000000004,100,0.15635697222222222,1.8303498358032708
1460_banana.csv,0.25,0.10293133333333349,0.04099999999999998,100,0.15647495444444445,2.142518995626388
1460_banana.csv,0.3,0.01974133333333211,0.013999999999999957,100,0.14434662666666667,2.265947676942921
1460_banana.csv,0.35,0.034642333333331776,0.01200000000000001,100,0.17887867888888886,2.0035730612838907
1460_banana.csv,0.4,0.062048999999999244,0.02899999999999997,100,0.17236036000000002,2.2490567199429794
1460_banana.csv,0.44,0.02188166666666591,0.006000000000000005,100,0.18535641222222224,2.025002978789238
1460_banana.csv,0.49,0.02260000000000084,0.0010000000000000009,100,0.18456658999999997,1.9812999648231995
1460_banana.csv,0.54,0.004140666666666126,0.0040000000000000036,100,0.17140562666666667,2.266793514557537
1460_banana.csv,0.6,0.03176099999999904,0.03299999999999992,100,0.16527233333333335,2.2018924701822042
1460_banana.csv,0.65,0.03572999999999782,0.027000000000000024,100,0.1723719511111111,2.142922369952966
1460_banana.csv,0.7,0.03585766666666679,0.0129999999999999,100,0.1646108844444444,2.065707497597144
1460_banana.csv,0.75,0.03079533333333051,0.006000000000000005,100,0.16170076777777775,1.7241971237651694
1460_banana.csv,0.8,0.1117529999999971,0.06400000000000006,100,0.15632386111111113,1.9238838442941135
1460_banana.csv,0.85,0.08619999999999706,0.03199999999999992,100,0.1293949722222222,1.828314597799049
1460_banana.csv,0.9,0.06464866666666402,0.02200000000000002,100,0.11343897222222221,1.498524114698927
