,dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy,gap_dys
0,1460_banana.csv,0.05,0.0826879999999993,0.0039999999999999,100,0.0803448655555555,1.6689199242081123,0.0786879999999994
1,1460_banana.csv,0.1,0.1107496666666655,0.01,100,0.1112744122222221,1.7875826699233064,0.1007496666666655
2,1460_banana.csv,0.15,0.0957379999999986,0.061,100,0.1361215322222222,2.1251528662060037,0.0347379999999986
3,1460_banana.csv,0.2,0.0649813333333335,0.0219999999999999,100,0.1526768488888889,1.74418457292294,0.0429813333333336
4,1460_banana.csv,0.25,0.035981666666667,0.0129999999999999,100,0.1580976933333333,1.8311327667195716,0.0229816666666671
5,1460_banana.csv,0.3,0.0332556666666647,0.011,100,0.169900111111111,1.8825834293354016,0.0222556666666647
6,1460_banana.csv,0.35,0.0372393333333315,0.006,100,0.1819643822222222,1.9408148196654895,0.031239333333331502
7,1460_banana.csv,0.4,0.0362796666666678,0.0269999999999999,100,0.1809780266666666,2.1566485989654174,0.0092796666666679
8,1460_banana.csv,0.44,0.0571720000000006,0.033,100,0.1761797899999999,2.208055005655359,0.024172000000000596
9,1460_banana.csv,0.49,0.0479510000000007,0.013,100,0.1857675766666666,2.019108336107492,0.034951000000000704
10,1460_banana.csv,0.54,0.0024690000000004,0.004,100,0.18698916,1.8474267412726204,-0.0015309999999996
11,1460_banana.csv,0.6,0.0341840000000025,0.041,100,0.1766343155555555,1.9339645895636064,-0.006815999999997505
12,1460_banana.csv,0.65,0.0059413333333344,0.046,100,0.1554240622222222,2.1687794602781523,-0.0400586666666656
13,1460_banana.csv,0.7,0.0330026666666664,0.0069999999999998,100,0.1610823955555555,2.033906106210342,0.026002666666666605
14,1460_banana.csv,0.75,0.0704919999999978,0.031,100,0.1516137155555555,1.886184764868576,0.03949199999999781
15,1460_banana.csv,0.8,0.0110843333333384,0.018,100,0.1306527288888889,1.76873368164135,-0.006915666666661598
16,1460_banana.csv,0.85,0.0669949999999995,0.0199999999999999,100,0.1148635322222222,2.068067565114487,0.0469949999999996
17,1460_banana.csv,0.9,0.060027999999999,0.022,100,0.0977374488888889,2.012727924626815,0.038027999999999
18,1460_banana.csv,0.95,0.0956860000000007,0.0189999999999999,100,0.0739153377777777,1.7413618215986804,0.07668600000000081
19,1460_banana.csv,0.05,0.0923309999999994,0.009,100,0.0742818622222222,1.6951220205223565,0.0833309999999994
