dataset,prevalencia_real,prev_moss_A,prev_moss_B,erro_moss_A,erro_moss_B,erro_dys,n_amostras,var_scores,entropy
1460_banana.csv,0.05,0.1326879999999994,0.13067833333333276,0.08268799999999939,0.08067833333333276,0.003999999999999997,100,0.08034486555555555,1.6689199242081125
1460_banana.csv,0.1,0.21074966666666559,0.21108533333333226,0.11074966666666558,0.11108533333333226,0.010000000000000009,100,0.11127441222222219,1.7875826699233064
1460_banana.csv,0.15,0.2457379999999986,0.24288833333333207,0.0957379999999986,0.09288833333333207,0.061,100,0.13612153222222223,2.1251528662060033
1460_banana.csv,0.2,0.26498133333333357,0.26012433333333346,0.06498133333333356,0.060124333333333446,0.021999999999999992,100,0.1526768488888889,1.74418457292294
1460_banana.csv,0.25,0.285981666666667,0.28598533333333354,0.03598166666666702,0.035985333333333536,0.012999999999999984,100,0.15809769333333334,1.8311327667195714
1460_banana.csv,0.3,0.33325566666666473,0.3352629999999983,0.03325566666666474,0.03526299999999832,0.01100000000000001,100,0.16990011111111109,1.8825834293354018
1460_banana.csv,0.35,0.38723933333333155,0.38757733333333166,0.03723933333333157,0.037577333333331686,0.006000000000000005,100,0.18196438222222228,1.9408148196654897
1460_banana.csv,0.4,0.43627966666666784,0.43602866666666756,0.03627966666666782,0.03602866666666754,0.02699999999999997,100,0.18097802666666662,2.1566485989654174
1460_banana.csv,0.44,0.49717200000000067,0.4923986666666675,0.05717200000000067,0.05239866666666748,0.03300000000000003,100,0.17617978999999995,2.208055005655359
1460_banana.csv,0.49,0.5379510000000007,0.5381183333333341,0.04795100000000074,0.04811833333333415,0.013000000000000012,100,0.18576757666666666,2.019108336107492
1460_banana.csv,0.54,0.5424690000000005,0.542385333333334,0.0024690000000004986,0.0023853333333340165,0.0040000000000000036,100,0.18698916000000004,1.8474267412726204
1460_banana.csv,0.6,0.6341840000000025,0.6341840000000026,0.034184000000002546,0.03418400000000266,0.041000000000000036,100,0.17663431555555553,1.9339645895636062
