real,err_CC,err_ACC,err_PACC,err_MS,err_EMQ,err_Dys,dataset
0.4984210526315789,0.076976316,0.064210526,0.076976316,0.060474991,0.024258709,0.036216282,1460_banana.csv
0.4984210526315789,0.016194736842105244,0.006315789,0.016194737,0.007016408,0.012227558234679825,0.00521115,1462_banknote-authentication.csv
0.4984210526315789,0.021604386,0.001578947,0.021604385965332384,0.001578947,0.011323738929101414,0.009744792,1466_cardiotocography.csv
0.4984210526315789,0.12609406733373837,0.1005932308040538,0.12522477814239008,0.10090648477860722,0.033516467,0.067390017,1475_first-order-theorem-proving.csv
0.4984210526315789,0.22316842105263157,0.20710526315799627,0.22316842105267093,0.21705992923485157,0.20127588199655866,0.015784047,1479_hill-valley.csv
0.4984210526315789,0.21821754385964917,0.1726315789475466,0.21821754385964195,0.17394736842105232,0.12347790031399185,0.050469468,1485_madelon.csv
0.4984210526315789,0.12494210526315787,0.096578947,0.12494210526301615,0.09459495,0.029531047,0.065063903,1489_phoneme.csv
0.4984210526315789,0.13629298245614035,0.11236842105230065,0.13629298245591415,0.10976251604621408,0.044609656,0.06515286,1494_qsar-biodeg.csv
0.4984210526315789,0.074889474,0.031578947368816696,0.074889474,0.032380482057132884,0.043654997353942335,0.011274515,1496_ringnorm.csv
0.4984210526315789,0.027373684210526293,0.011315789474092567,0.027373684210816585,0.01096868,0.014721885596690739,0.003753206,1497_wall-robot-navigation.csv
0.4984210526315789,0.06899386,0.007631579,0.06899386,0.007631579,0.056989963,0.049358384,1504_steel-plates-fault.csv
0.4984210526315789,0.083850877,0.015789474,0.083850877,0.015394736842105261,0.050441467696708674,0.035046731,1507_twonorm.csv
0.4984210526315789,0.002814912,4.980226757305374e-13,0.002814912,6.856816360199656e-05,0.001715275,0.001646707,1526_wall-robot-navigation.csv
0.4984210526315789,0.29043070175438596,0.2644736842097636,0.29043070175364727,0.2482991029865799,0.098640142,0.149658961,1535_volcanoes-b5.csv
0.4984210526315789,0.3800561403508772,0.4402631578937983,0.3800561403500988,0.4319904306220098,0.1274029250374029,0.304587506,1538_volcanoes-d1.csv
0.4984210526315789,0.37043596491228076,0.4355263157885399,0.37043596491151193,0.41752951661256976,0.11375639692079849,0.30377312,1539_volcanoes-d2.csv
0.4984210526315789,0.37153333333333344,0.43657894736748615,0.37153333333256355,0.41277190921926415,0.12647435463496617,0.286297555,1540_volcanoes-d3.csv
0.4984210526315789,0.3841429824561403,0.47368421052534376,0.3841429824553579,0.45418908656649026,0.11937141619320217,0.33481767,1541_volcanoes-d4.csv
0.4984210526315789,0.22664736842105265,0.21815789473674685,0.22664736842098043,0.22380949383027113,0.21850916103173948,0.005300333,1566_hill-valley.csv
0.4984210526315789,0.030403508771929825,0.012631578947781073,0.030403508772331556,0.012584306,0.014834407285260035,0.002250101,182_satimage.csv
0.4984210526315789,0.18447205020126073,0.1707756724718203,0.18337401009389354,0.16811910283140052,0.090160494,0.077958609,23_cmc.csv
0.4984210526315789,0.12321666666666664,0.080526316,0.12321666666703007,0.082368421,0.038886053867589615,0.043482367,28_optdigits.csv
0.4984210526315789,0.039814035,0.019210526316252318,0.039814035,0.019387048040283558,0.012784836634418895,0.006602211,294_satellite_image.csv
0.4984210526315789,0.097729825,0.088684211,0.097729825,0.081327095,0.011096765616005972,0.07023033,30_page-blocks.csv
0.4984210526315789,0.22808333333333333,0.2678947368413398,0.2280833333329336,0.24596952908587366,0.09336646,0.152603069,312_scene.csv
0.4984210526315789,0.0607,0.037105263,0.0607,0.036380768,0.028053635409158062,0.008327132,375_JapaneseVowels.csv
0.4984210526315789,0.2099517543859649,0.23157894736865528,0.20995175438610533,0.20052631578947278,0.067784999,0.132741317,40733_yeast.csv
0.4984210526315789,0.061940731,0.034195987,0.061705597,0.03445647,0.035785960075623235,0.00132949,44_spambase.csv
0.4984210526315789,0.20296140350877193,0.24894736842129142,0.20296140350895675,0.2418421052631577,0.088047209,0.153794896,4538_GesturePhaseSegmentationProcessed.csv
0.4984210526315789,0.13726403508771928,0.10394736842139667,0.1372640350879644,0.10225952813067112,0.050067657,0.052191871,60_waveform-5000.csv
0.4984210526315789,0.17873276670454305,0.095547298,0.1444644081618981,0.12371351840950198,0.10455551995832954,0.019157998,679_rmftsa_sleepdata.csv
0.4984210526315789,0.12697894736842105,0.083684211,0.12697894736857984,0.083947368,0.0361152,0.047832168,AedesQuinx.csv
0.4984210526315789,0.018537719,0.012105263158094716,0.018537719,0.010718882989610937,0.011904151264316914,0.001185268,AedesSex.csv
0.4984210526315789,0.040935964912280715,0.004736842,0.040935965,0.00482592,0.025985139485296006,0.021159219,ArabicDigit.csv
0.4984210526315789,0.018719298245614024,0.012368421,0.018719298245949468,0.011523147502310354,0.008983537,0.002539611,BNG.csv
0.4984210526315789,0.016694736842105255,0.007105263,0.016694736842398524,0.007374182,0.006037193,0.00133699,BNG_breast-w.csv
0.4984210526315789,0.087223684,0.078421053,0.087223684,0.06370734,0.021246061060954752,0.042461279,HTRU.csv
0.4984210526315789,0.11868421052631577,0.10842105263195047,0.11868421052654814,0.10836632555298606,0.034780975,0.073585351,MagicTelescope.csv
0.4984210526315789,0.13043508771929824,0.096578947,0.1304350877193788,0.095217534,0.040341232446565574,0.054876302,abalone.csv
0.4984210526315789,0.11380526315789474,0.071578947,0.11380526315808769,0.07405473,0.038258606,0.035796124,ailerons.csv
0.4984210526315789,0.031505263157894724,0.013947368,0.031505263,0.014952414,0.011712493,0.003239921,anuranCalls.csv
0.4984210526315789,0.067994737,0.039473684210836316,0.067994737,0.032235199,0.030314363697560066,0.001920835,balance.1.csv
0.4984210526315789,0.086502632,0.076842105,0.086502632,0.075586124,0.028305642,0.047280482,balance.3.csv
0.4984210526315789,0.029285964912280714,0.016842105263606032,0.029285964912721705,0.016385765529438108,0.009094823,0.007290942,balloon.csv
0.4984210526315789,0.063599123,0.036315789473891504,0.063599123,0.036312657,0.036986028529027236,0.000673371,bank8FM.csv
0.4984210526315789,0.038436842,0.016052631579359527,0.038436842105338605,0.01434342,0.011898451701441026,0.002444968,breast-cancer.csv
0.4984210526315789,0.16093859649122805,0.12868421052668186,0.1609385964915226,0.12934210526315684,0.099309059,0.030033046,churn.csv
0.4984210526315789,0.046107018,4.974587992996092e-13,0.046107017544287456,0.000246431,0.030951360941609687,0.03070493,clean2.csv
0.4984210526315789,0.31134736842105265,0.44473684210431996,0.311347368,0.40828549323006663,0.10672683960852603,0.301558654,click-prediction.csv
0.4984210526315789,0.18587477424622165,0.16668725767304343,0.18493204852337156,0.16459401506053395,0.095240033,0.069353982,cmc.1.csv
0.4984210526315789,0.2649153084099137,0.3105585182048381,0.2544865731385349,0.30383821489899926,0.14437871073753955,0.159459504,cmc.2.csv
0.4984210526315789,0.23003689647097544,0.2531068291072551,0.22561864522121924,0.25536964798904155,0.16089526605697613,0.094474382,cmc.3.csv
0.4984210526315789,0.18902707289055973,0.1757380172296443,0.18652805573739994,0.1697493979609553,0.092031393,0.077718005,cmc.csv
