dataset,erro_dys_mean,erro_dys_std,erro_dyssyn_mean,erro_dyssyn_std,erro_moss_mean,erro_moss_std,var_scores_mean,entropy_mean,prevalencia_real_mean,prevalencia_real_std,Vencedor,MOSS_vence_ambos
phpMD2hR6.csv,0.018470526315789458,0.01089110167123192,0.013170681194610437,0.010595968028695836,0.010949512631579079,0.007168480819046201,0.1668572024842105,0.9140255896948418,0.49842105263157893,0.27402981766284545,MOSS,True
php50jXam.csv,0.03130421052631577,0.018234137068827195,0.014918582602271593,0.013158587384838728,0.011025384912280911,0.007140406531345779,0.15905790400233916,1.173436789684161,0.49842105263157893,0.27402981766284545,MOSS,True
1462_banknote-authentication.csv,0.03193368421052629,0.01811504105542373,0.014159679139145662,0.012778565390053113,0.011167448771930056,0.0069797864388119165,0.15931368248654965,1.1696031822578425,0.49842105263157893,0.27402981766284545,MOSS,True
1466_cardiotocography.csv,0.13489999999999996,0.06004228839914856,0.019308253574071125,0.012768883341361928,0.01120108912280728,0.005905767251248072,0.15563512790292394,1.1343881513046539,0.49842105263157893,0.27402981766284545,MOSS,True
BNG_breast-w.csv,0.012707368421052597,0.009315376346751366,0.016729493598174588,0.012920417696462322,0.012351656491228245,0.008117932812044313,0.16486749966315786,1.014131091984215,0.49842105263157893,0.27402981766284545,MOSS,True
BNG.csv,0.01255473684210523,0.009920476938178829,0.017149132771463675,0.012900811892562295,0.012536859649123001,0.008826494423505448,0.16499874669122805,1.0179140797509465,0.49842105263157893,0.27402981766284545,MOSS,True
1504_steel-plates-fault.csv,0.026592631578947347,0.019420133068801564,0.029023514453609355,0.018513236521112027,0.013863402807017602,0.010018194193576765,0.1027372378187134,2.290581411383139,0.49842105263157893,0.27402981766284545,MOSS,True
phpxijhaP.csv,0.025454736842105235,0.016975205177429138,0.02020608799064562,0.014255855251858969,0.015430403157894896,0.011552006208144297,0.09327695630058475,2.571580563207096,0.49842105263157893,0.27402981766284545,MOSS,True
1507_twonorm.csv,0.02456526315789471,0.016303091229898065,0.02015327661475547,0.013791175057059337,0.016360567719298436,0.01249534520507398,0.09284138349005844,2.5778576184721707,0.49842105263157893,0.27402981766284545,MOSS,True
breast-cancer.csv,0.04261894736842102,0.025215364437937555,0.028433425295925692,0.01974737836958765,0.01755111614035104,0.012996827939803399,0.15262547421169587,1.4464712294800184,0.49842105263157893,0.27402981766284545,MOSS,True
gina_agnostic.csv,0.031995789473684186,0.022965635737421136,0.03558424229876211,0.059263070646922836,0.03169952982456141,0.027577082948003488,0.08049158668421048,2.6840301879575836,0.49842105263157893,0.27402981766284545,MOSS,True
file79b563a1a18.csv,0.10624526315789472,0.07156323041185465,0.1724141227965857,0.12118613718191729,0.08022832421052638,0.05765929746659332,0.08987086217192977,2.299589715297004,0.49842105263157893,0.27402981766284545,MOSS,True
pollen.csv,0.38273473684210524,0.2592300205105766,0.419753872236243,0.26600462034097366,0.32377567824561504,0.2323803782425373,0.017882580990643233,2.6630247524083064,0.49842105263157893,0.27402981766284545,MOSS,True
