Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04067640350877197,0.041792343096343665,0.010920910520086946,0.11871571579678475,80
balance.3,0.038324824561403625,0.03895943015743976,0.010921186837980426,0.1164464894758758,80
breast-cancer,0.02287184210526339,0.03806237757431855,0.010613713165328494,0.11691628421172745,80
cmc.1,0.2755093859649123,0.17934270271681738,0.01753545263445152,29.12709327368372,80
cmc.2,0.41557745614035085,0.39338993333269573,0.01556489473257802,0.17944481578888372,80
cmc.3,0.36309894736842097,0.3392867862026949,0.010742884210470182,0.12233845789543059,80
ctg.1,0.09427192982456108,0.08339954051428874,0.010898415788113581,0.11523817368556354,80
ctg.2,0.13480921052631595,0.1448570943900668,0.010717668421995384,0.11524028683810397,80
ctg.3,0.07587640350877228,0.04513698314133711,0.01083498421480487,0.11602898947067412,80
german,0.2748003508771935,0.4429392825859492,0.011224228945425957,0.11333695789308924,80
haberman,0.44418447368421066,0.4725786747486848,0.0111477947319049,0.12105683157967992,80
ionosphere,0.06298850877192984,0.02831013803005224,0.011611844742315282,0.12102222894961749,80
iris.2,0.050409736842105035,0.043189711373630535,0.011106015786553096,0.1208159499985509,80
iris.3,0.02173938596491221,0.02088366237970923,0.011336581585438628,0.1223271947314252,80
mammographic,0.09657815789473641,0.09962354673520471,0.01247835263003301,0.1351623868379791,80
pageblocks.5,0.25431666666666686,0.103390672005672,0.011811526322210403,0.12610004736588484,80
semeion,0.15388385964912285,0.2510418100507953,0.016284628948932022,0.1905657473651349,80
sonar,0.2646753508771932,0.0818000801133672,0.04785086578799804,0.5363572289474847,80
spambase,0.03675061403508806,0.032543323887666606,0.03787269999769418,0.4171381289473318,80
spectf,0.1961832456140349,0.49719214759122127,0.03875587632003436,0.4398130421100895,80
tictactoe,0.06615412280701766,0.05538928391333563,0.03755123157813949,0.42654198157067996,80
transfusion,0.38249438596491225,0.3766957131336195,0.03603747894521803,0.41215009210435183,80
wdbc,0.04083429824561417,0.04545156379280837,0.0377475000139767,0.4171691368438156,80
wine.1,0.023041315789473698,0.022842460387152024,0.04260185526034452,0.4689281526324952,80
wine.2,0.02933964912280703,0.015969023290998235,0.03897278947222635,0.42264576842487594,80
wine.3,0.04199964912280717,0.03113826588158398,0.036381871050444284,0.4043360315753441,80
wine-q-red,0.0712489473684211,0.06331590629047086,0.0399014921047063,0.44669432367970185,80
wine-q-white,0.14552885964912252,0.17367821793554325,0.03736676841876224,0.43599200263270177,80
yeast,0.32900719298245634,0.42534687913768876,0.03822553421272651,0.4336801815738191,80
