Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04132242690058484,0.04103835465151777,0.012041018414923823,0.12641619474283958,180
balance.3,0.06345891812865515,0.04464070904230939,0.011398686840517544,0.12397117895000663,180
breast-cancer,0.03126602339181291,0.039968787514503966,0.010791649997516192,0.12200958947314096,180
cmc.1,0.2943415204678363,0.19998439923674724,0.011682176314551677,0.1267515684226773,180
cmc.2,0.43018187134502933,0.4185498089678931,0.011751823687901427,0.13258103157951204,180
cmc.3,0.4029464327485379,0.34864498775963026,0.011342278949757057,0.12815396578700625,180
ctg.1,0.09739058479532126,0.0867306694671806,0.012381565787731424,0.14052379737136347,180
ctg.2,0.14544450292397698,0.13991871549921614,0.017170257889359306,0.1936295921087118,180
ctg.3,0.07781198830409389,0.0385445924784284,0.015096726314176953,0.18017849736804092,180
german,0.33838897660818784,0.46245331760787256,0.015881671057094968,0.1791208315744849,180
haberman,0.4650511695906434,0.4951704811060493,0.02013971052733005,0.21787185789741526,180
ionosphere,0.04709374269005865,0.02527284175810761,0.016831581583430403,0.20271251053322645,180
iris.2,0.030224970760233828,0.04284085240853019,0.016646155268015144,0.17119635262459174,180
iris.3,0.02225830409356734,0.01506234060300736,0.01414975525786806,0.16289442105182006,180
mammographic,0.09259429824561385,0.10698392269435861,0.01660931315793852,0.19137842368218116,180
pageblocks.5,0.2558838888888891,0.25468614630588277,0.01641026052713737,0.17147339736938624,180
semeion,0.14316008771929833,0.2519194458532422,0.01596081315840006,0.1713722342132027,180
sonar,0.2719418713450294,0.06778330845305416,0.015112384207130066,0.18233795262609706,180
spambase,0.03182251461988318,0.02656312017082146,0.011208068414003049,0.1246538263145148,180
spectf,0.18455049707602325,0.49849345930185873,0.010480550001375377,0.11448999210934792,180
tictactoe,0.06866903508771945,0.05875676986315283,0.010302871053634016,0.11461161052973598,180
transfusion,0.38360432748538004,0.3700904796625269,0.010869523694150542,0.11762660526437685,180
wdbc,0.03523634502923999,0.03632570639434585,0.010303494736466459,0.1140764342179816,180
wine.1,0.026019064327485422,0.013775117070926088,0.010103815792765664,0.11648565789647891,180
wine.2,0.025193421052631573,0.009073267962366058,0.010807371048844959,0.11642152105923742,180
wine.3,0.04263192982456154,0.020432218715836475,0.010538436847702158,0.11240270262963972,180
wine-q-red,0.06263198830409361,0.05509829815507211,0.010729015787977627,0.11821093684289065,180
wine-q-white,0.11749108187134474,0.16243307743459204,0.010224660529179107,0.11840971578433375,180
yeast,0.3241028362573101,0.441030730067923,0.010639268425477081,0.11910312104890564,180
