Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
balance.1,0.05,0.05,0.13655333333333353,0.08489810796263181,0.08655333333333352,0.034898107962631805,0.017457200000080775,0.17424949999985984,0.017883300000029953,0.1871936447368123
balance.1,0.1,0.1,0.1783533333333338,0.1782246591740106,0.0783533333333338,0.07822465917401059,0.011757499999930587,0.15686189999996714,0.017883300000029953,0.1871936447368123
balance.1,0.15,0.15,0.21589666666666707,0.16059822636522075,0.06589666666666708,0.010598226365220759,0.024340399999800866,0.21826259999988906,0.017883300000029953,0.1871936447368123
balance.1,0.2,0.2,0.24112,0.2617570107897457,0.04111999999999999,0.061757010789745714,0.012944000000061351,0.13467820000005304,0.017883300000029953,0.1871936447368123
balance.1,0.25,0.25,0.3204033333333319,0.32672326585150824,0.07040333333333187,0.07672326585150824,0.013723900000059075,0.15721570000005158,0.017883300000029953,0.1871936447368123
balance.1,0.3,0.3,0.3443733333333323,0.329513717048007,0.04437333333333232,0.029513717048007038,0.015589000000090891,0.1320024999999987,0.017883300000029953,0.1871936447368123
balance.1,0.35,0.35,0.34856333333333234,0.34097937450135857,0.0014366666666676409,0.00902062549864141,0.013407399999778136,0.12981109999964247,0.017883300000029953,0.1871936447368123
balance.1,0.4,0.39999999999999997,0.3962399999999991,0.4099148599699961,0.0037600000000009293,0.009914859969996082,0.011586199999783275,0.13087310000037178,0.017883300000029953,0.1871936447368123
balance.1,0.445,0.44999999999999996,0.4481533333333331,0.45515988187251105,0.0031533333333331193,0.010159881872511045,0.013639300000249932,0.1486549000001105,0.017883300000029953,0.1871936447368123
balance.1,0.495,0.49999999999999994,0.5294033333333317,0.5003741927130454,0.034403333333331676,0.0053741927130454,0.012725899999622925,0.14344100000016624,0.017883300000029953,0.1871936447368123
balance.1,0.545,0.5499999999999999,0.5459999999999985,0.5273327426114276,0.0009999999999984466,0.017667257388572444,0.01149840000016411,0.13126659999988988,0.017883300000029953,0.1871936447368123
balance.1,0.6,0.6,0.6200533333333323,0.6294700800989346,0.020053333333332368,0.029470080098934592,0.01260550000006333,0.13270570000031512,0.017883300000029953,0.1871936447368123
balance.1,0.65,0.65,0.6020700000000005,0.5908474906633078,0.04792999999999947,0.05915250933669225,0.009823600000345323,0.13141319999976986,0.017883300000029953,0.1871936447368123
balance.1,0.7,0.7,0.6275266666666651,0.6193865536679388,0.07247333333333483,0.08061344633206113,0.013317900000402005,0.1344822999999451,0.017883300000029953,0.1871936447368123
balance.1,0.75,0.75,0.7558566666666633,0.744563141550695,0.0058566666666632905,0.005436858449304971,0.01340349999964019,0.13632149999966714,0.017883300000029953,0.1871936447368123
balance.1,0.8,0.7999999999999999,0.748976666666664,0.7172728997720399,0.051023333333336085,0.08272710022796015,0.014940699999897333,0.13401660000045013,0.017883300000029953,0.1871936447368123
balance.1,0.85,0.85,0.7881633333333337,0.7939458576000777,0.06183666666666632,0.056054142399922235,0.0125330999999278,0.12766740000006394,0.017883300000029953,0.1871936447368123
balance.1,0.9,0.9,0.8221999999999993,0.8359287100302366,0.07780000000000076,0.06407128996976341,0.02186389999997118,0.22800659999984418,0.017883300000029953,0.1871936447368123
balance.1,0.95,0.95,0.9195300000000008,0.8928087480608223,0.03046999999999911,0.05719125193917762,0.025409899999885965,0.23391420000007201,0.017883300000029953,0.1871936447368123
balance.1,0.05,0.05,0.11783333333333329,0.09891066577549446,0.06783333333333329,0.04891066577549445,0.020521699999790144,0.2858446999998705,0.017883300000029953,0.1871936447368123
balance.1,0.1,0.1,0.16998000000000044,0.11471516460949047,0.06998000000000043,0.014715164609490461,0.033048799999960465,0.21952550000014526,0.017883300000029953,0.1871936447368123
balance.1,0.15,0.15,0.21838000000000032,0.22550051252265013,0.06838000000000033,0.07550051252265014,0.01926320000029591,0.2716192999996565,0.017883300000029953,0.1871936447368123
balance.1,0.2,0.2,0.21151000000000048,0.19548003674082487,0.011510000000000464,0.0045199632591751415,0.01784140000017942,0.31073960000003353,0.017883300000029953,0.1871936447368123
balance.1,0.25,0.25,0.24179666666666672,0.22412627891792192,0.008203333333333285,0.025873721082078083,0.030756499999824882,0.2820588999998108,0.017883300000029953,0.1871936447368123
balance.1,0.3,0.3,0.3485633333333325,0.36589331751055,0.048563333333332515,0.06589331751055,0.021450800000366144,0.2053740999999718,0.017883300000029953,0.1871936447368123
balance.1,0.35,0.35,0.36862000000000017,0.373382567488986,0.018620000000000192,0.02338256748898604,0.016143100000135746,0.21218750000025466,0.017883300000029953,0.1871936447368123
balance.1,0.4,0.39999999999999997,0.4018933333333322,0.41336687648408893,0.0018933333333321922,0.013366876484088908,0.028949399999874004,0.2030681999999615,0.017883300000029953,0.1871936447368123
balance.1,0.445,0.44999999999999996,0.4383533333333324,0.45338305060247935,0.006646666666667633,0.008383050602479347,0.0182807999999568,0.18015190000005532,0.017883300000029953,0.1871936447368123
balance.1,0.495,0.49999999999999994,0.468680000000001,0.4862179228313047,0.02631999999999901,0.00878207716869528,0.02144060000000536,0.20158760000003895,0.017883300000029953,0.1871936447368123
balance.1,0.545,0.5499999999999999,0.4726233333333345,0.47839014891096365,0.07237666666666553,0.06660985108903639,0.018334100000174658,0.17906589999984135,0.017883300000029953,0.1871936447368123
balance.1,0.6,0.6,0.5982366666666674,0.5721162424733512,0.0017633333333325618,0.027883757526648734,0.019704900000306225,0.2107138000001214,0.017883300000029953,0.1871936447368123
